[Tue  7 Jun 20:00:15 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 53 --- 144939
[Tue  7 Jun 20:00:15 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 54 --- 144939
[Tue  7 Jun 20:00:16 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 55 --- 144939
[Tue  7 Jun 20:00:16 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 56 --- 144939
[Tue  7 Jun 20:00:21 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 57 --- 166637
[Tue  7 Jun 20:00:21 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 58 --- 144939
[Tue  7 Jun 20:00:21 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 59 --- 144939
[Tue  7 Jun 20:00:22 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 60 --- 144939
[Tue  7 Jun 20:00:22 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 61 --- 144939
[Tue  7 Jun 20:00:27 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 62 --- 166637
[Tue  7 Jun 20:00:38 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 63 --- 144341
[Tue  7 Jun 20:00:39 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 64 --- 144939
[Tue  7 Jun 20:00:50 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 65 --- 144477
[Tue  7 Jun 20:00:55 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 66 --- 166637
[Tue  7 Jun 20:00:55 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 67 --- 144939
[Tue  7 Jun 20:00:56 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 68 --- 144939
[Tue  7 Jun 20:01:01 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 69 --- 166637
[Tue  7 Jun 20:01:07 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 70 --- 166637
[Tue  7 Jun 20:01:15 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 71 --- 145053
[Tue  7 Jun 20:01:29 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 72 --- 144939
[Tue  7 Jun 20:01:29 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 73 --- 144939
[Tue  7 Jun 20:01:29 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 74 --- 144939
[Tue  7 Jun 20:01:30 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 75 --- 144939
[Tue  7 Jun 20:01:30 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 76 --- 144939
[Tue  7 Jun 20:01:30 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 77 --- 144939
[Tue  7 Jun 20:01:31 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 78 --- 144939
[Tue  7 Jun 20:01:31 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 79 --- 144939
[Tue  7 Jun 20:01:36 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 80 --- 166637
[Tue  7 Jun 20:01:42 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 81 --- 166637
[Tue  7 Jun 20:01:42 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 82 --- 144477
[Tue  7 Jun 20:01:43 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 83 --- 144939
[Tue  7 Jun 20:01:56 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 84 --- 144431
[Tue  7 Jun 20:02:01 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 85 --- 166637
[Tue  7 Jun 20:02:02 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 86 --- 144939
[Tue  7 Jun 20:02:33 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 87 --- 19980
[Tue  7 Jun 20:02:33 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 88 --- 144939
[Tue  7 Jun 20:02:33 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 89 --- 144939
[Tue  7 Jun 20:02:34 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 90 --- 144939
[Tue  7 Jun 20:02:34 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 91 --- 144939
[Tue  7 Jun 20:02:35 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 92 --- 144939
[Tue  7 Jun 20:02:35 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 93 --- 144939
[Tue  7 Jun 20:02:35 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 94 --- 144939
[Tue  7 Jun 20:02:36 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 95 --- 144939
[Tue  7 Jun 20:02:36 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 96 --- 144939
[Tue  7 Jun 20:02:37 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 97 --- 144939
[Tue  7 Jun 20:02:41 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 98 --- 144939
[Tue  7 Jun 20:02:41 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 99 --- 144939
[Tue  7 Jun 20:02:42 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 100 --- 144939
[Tue  7 Jun 20:02:42 CEST 2022] FRAME_COUNT = 300, ITERATION = 1, INDEX = 101 --- 144939
