[Tue  7 Jun 19:10:05 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 0 --- 150170
[Tue  7 Jun 19:10:10 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 1 --- 150170
[Tue  7 Jun 19:10:11 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 2 --- 125034
[Tue  7 Jun 19:10:11 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 3 --- 125491
[Tue  7 Jun 19:10:18 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 4 --- 125491
[Tue  7 Jun 19:10:18 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 5 --- 125491
[Tue  7 Jun 19:10:18 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 6 --- 125491
[Tue  7 Jun 19:10:19 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 7 --- 125491
[Tue  7 Jun 19:10:19 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 8 --- 125491
[Tue  7 Jun 19:10:19 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 9 --- 125491
[Tue  7 Jun 19:10:20 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 10 --- 125491
[Tue  7 Jun 19:10:20 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 11 --- 125491
[Tue  7 Jun 19:10:24 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 12 --- 125491
[Tue  7 Jun 19:10:26 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 13 --- 125034
[Tue  7 Jun 19:10:26 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 14 --- 125491
[Tue  7 Jun 19:10:27 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 15 --- 125491
[Tue  7 Jun 19:10:27 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 16 --- 125491
[Tue  7 Jun 19:10:27 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 17 --- 125491
[Tue  7 Jun 19:10:32 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 18 --- 125491
[Tue  7 Jun 19:10:33 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 19 --- 125491
[Tue  7 Jun 19:10:33 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 20 --- 125491
[Tue  7 Jun 19:10:38 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 21 --- 150170
[Tue  7 Jun 19:10:38 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 22 --- 125491
[Tue  7 Jun 19:10:40 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 23 --- 125491
[Tue  7 Jun 19:10:45 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 24 --- 150170
[Tue  7 Jun 19:10:46 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 25 --- 125491
[Tue  7 Jun 19:10:48 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 26 --- 146234
[Tue  7 Jun 19:10:48 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 27 --- 125491
[Tue  7 Jun 19:10:49 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 28 --- 125491
[Tue  7 Jun 19:10:49 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 29 --- 125491
[Tue  7 Jun 19:10:50 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 30 --- 125491
[Tue  7 Jun 19:10:50 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 31 --- 125491
[Tue  7 Jun 19:10:55 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 32 --- 150170
[Tue  7 Jun 19:10:55 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 33 --- 125491
[Tue  7 Jun 19:10:55 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 34 --- 125491
[Tue  7 Jun 19:11:02 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 35 --- 125491
[Tue  7 Jun 19:11:02 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 36 --- 125491
[Tue  7 Jun 19:11:09 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 37 --- 125491
[Tue  7 Jun 19:11:09 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 38 --- 125491
[Tue  7 Jun 19:11:19 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 39 --- 125491
[Tue  7 Jun 19:11:20 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 40 --- 125491
[Tue  7 Jun 19:11:22 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 41 --- 125034
[Tue  7 Jun 19:11:22 CEST 2022] FRAME_COUNT = 200, ITERATION = 1, INDEX = 42 --- 125491
